Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status","Type","Material - Core","Inductance","Tolerance","Current Rating (Amps)","Current - Saturation (Isat)","Shielding","DC Resistance (DCR)","Q @ Freq","Frequency - Self Resonant","Ratings","Operating Temperature","Inductance Frequency - Test","Features","Mounting Type","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)"
"https://www.bourns.com/docs/Product-Datasheets/2300_series.pdf","//media.digikey.com/photos/Bourns%20Photos/2100,2200,2300%20HORIZONTAL%20SERIES.jpg","M8836-ND","2310-H-RC","Bourns Inc.","Bourns Inc.","FIXED IND 56UH 10.2A 17 MOHM TH","1,389","4.66","0","1","Bulk","2300","Active","Toroidal","Iron Powder","56 µH","±15%","10.2 A","-","Unshielded","17mOhm Max","-","-","-","-55°C ~ 105°C","1 kHz","-","Through Hole","Radial, Horizontal (Open)","-","1.280"" Dia (32.51mm)","0.650"" (16.51mm)"
"https://www.bourns.com/docs/Product-Datasheets/2300_series.pdf","//media.digikey.com/photos/Bourns%20Photos/2100,2200,2300%20VERTICAL%20SERIES.jpg","M8886-ND","2310-V-RC","Bourns Inc.","Bourns Inc.","FIXED IND 56UH 10.2A 17 MOHM TH","505","4.66","0","1","Bulk","2300","Active","Toroidal","Iron Powder","56 µH","±15%","10.2 A","-","Unshielded","17mOhm Max","-","-","-","-55°C ~ 105°C","1 kHz","-","Through Hole","Radial, Vertical (Open)","-","1.280"" Dia x 0.650"" W (32.51mm x 16.51mm)","-"
"https://abracon.com/Magnetics/new/ATCASeries.pdf","//media.digikey.com/Photos/Abracon%20Corporation%20Photos/MFG_ATCA-08-V.jpg","535-13513-ND","ATCA-08-251M-V","Abracon LLC","Abracon LLC","FIXED IND 250UH 10A 27 MOHM TH","1,267","8.92","0","1","Tray","ATCA","Active","Toroidal","Iron Powder","250 µH","±20%","10 A","-","Unshielded","27mOhm Max","-","-","-","-40°C ~ 105°C","1 kHz","-","Through Hole","Radial, Vertical (Open)","-","1.673"" L x 0.846"" W (42.50mm x 21.50mm)","-"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-lcpi-toroid-power-inductors-data-sheet.pdf","//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/CTX100-10-52LPR.JPG","513-1720-ND","CTX100-10-52LPR","Eaton - Electronics Division","Eaton - Electronics Division","FIXED IND 100UH 17.6A 10.9 MOHM","231","20.25","0","1","Bulk","CTX","Active","Toroidal","Iron Powder","100 µH","±20%","17.6 A","13A","Unshielded","10.9mOhm Max","-","-","-","-40°C ~ 75°C","100 kHz","-","Through Hole","Radial, Horizontal (Open)","-","2.244"" Dia (57.00mm)","1.083"" (27.50mm)"
"https://www.bourns.com/docs/Product-Datasheets/SRP2313AA.pdf","//media.digikey.com/Photos/Bourns%20Photos/MFG_SRP2313AA.jpg","SRP2313AA-680MTR-ND,SRP2313AA-680MCT-ND,SRP2313AA-680MDKR-ND","SRP2313AA-680M","Bourns Inc.","Bourns Inc.","FIXED IND 68UH 12A 29.5 MOHM SMD","320","8.39","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","SRP2313AA","Active","Wirewound","Alloy Powder","68 µH","±20%","12 A","9A","Shielded","29.5mOhm Max","20 @ 100kHz","3MHz","AEC-Q200","-55°C ~ 155°C","100 kHz","-","Surface Mount","Nonstandard","-","0.925"" L x 0.866"" W (23.50mm x 22.00mm)","0.512"" (13.00mm)"
"//media.digikey.com/pdf/Data%20Sheets/Kemet%20PDFs/MPXV_Series_DS.pdf","//media.digikey.com/Photos/Kemet%20Photos/MFG_MPXV1D1770.jpg","399-MPXV1D2213L101TR-ND,399-MPXV1D2213L101CT-ND,399-MPXV1D2213L101DKR-ND","MPXV1D2213L101","KEMET","KEMET","FIXED IND 100UH 10A 47.4MOHM SMD","245","13.34","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MPXV","Active","-","Metal Composite","100 µH","±20%","10 A","10.5A","Shielded","47.4mOhm Max","-","1.6MHz","AEC-Q200","-55°C ~ 155°C","100 kHz","-","Surface Mount","Nonstandard","-","0.886"" L x 0.866"" W (22.50mm x 22.00mm)","0.512"" (13.00mm)"
"https://www.bourns.com/docs/Product-Datasheets/1140_series.pdf","//media.digikey.com/photos/Bourns%20Photos/1140%20SERIES.jpg","M8376-ND","1140-680K-RC","Bourns Inc.","Bourns Inc.","FIXED IND 68UH 11.4A 21 MOHM TH","1,124","12.96","0","1","Bulk","1140","Active","Wirewound","Ferrite","68 µH","±10%","11.4 A","25.2A","Unshielded","21mOhm Max","-","-","-","-55°C ~ 105°C","1 kHz","-","Through Hole","Radial, Vertical Cylinder","-","1.500"" Dia (38.10mm)","1.030"" (26.16mm)"
"https://productfinder.pulseelectronics.com/api/open/product-attachments/datasheet/pa4349.102anlt","//media.digikey.com/Renders/Pulse%20Renders/PA4349.JPG","553-PA4349.683ANLTTR-ND,553-PA4349.683ANLTCT-ND,553-PA4349.683ANLTDKR-ND","PA4349.683ANLT","Pulse Electronics Power","Pulse Electronics Power","FIXED IND 68UH 14A 29.5 MOHM SMD","231","7.53","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","PA4349.XXXANLT","Active","Molded","-","68 µH","±20%","14 A","12A","Shielded","29.5mOhm Max","-","-","AEC-Q200","-55°C ~ 155°C","100 kHz","-","Surface Mount","Nonstandard","-","0.925"" L x 0.866"" W (23.50mm x 22.00mm)","0.512"" (13.00mm)"
"https://www.vishay.com/docs/34353/ihlp8787mz51.pdf","//media.digikey.com/Photos/Vishay%20Dale%20Photos/MFG_IHLP-8787MZ-51.jpg","541-IHLP8787MZER750M51TR-ND,541-IHLP8787MZER750M51CT-ND,541-IHLP8787MZER750M51DKR-ND","IHLP8787MZER750M51","Vishay Dale","Vishay Dale","FIXED IND 75UH 12A 32.35 MOHM SM","209","10.02","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","IHLP-8787MZ-51","Active","Molded","-","75 µH","±20%","12 A","12A","Shielded","32.35mOhm Max","-","2.01MHz","-","-55°C ~ 155°C","100 kHz","-","Surface Mount","Nonstandard","-","0.885"" L x 0.866"" W (22.48mm x 22.00mm)","0.512"" (13.00mm)"
"https://www.vishay.com/docs/34350/ihlp8787mz5a.pdf","//media.digikey.com/Photos/Vishay%20Dale%20Photos/MFG_IHLP-8787MZ-5.jpg","541-IHLP8787MZER820M5ATR-ND,541-IHLP8787MZER820M5ACT-ND,541-IHLP8787MZER820M5ADKR-ND","IHLP8787MZER820M5A","Vishay Dale","Vishay Dale","FIXED IND 82UH 10.2A 34.2MOHM SM","200","10.27","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","IHLP-8787MZ-5A","Active","Molded","-","82 µH","±20%","10.2 A","9A","Shielded","34.2mOhm Max","-","2.07MHz","AEC-Q200","-55°C ~ 155°C","100 kHz","-","Surface Mount","Nonstandard","-","0.885"" L x 0.866"" W (22.48mm x 22.00mm)","0.512"" (13.00mm)"
