Manufacturer,Part Number,Voltage Rating (V),Current Rating (A),Coss (pF),"Rds,on (mOHms)",Qg (nC),Length (mm),Width (mm),Height (mm),Volume (mm^3),Price ($) ,Link,"FOM 1: (Coss*Rds,on*Volume"
EPC,EPC2052,100,8.2,195,10,3.5,1.5,1.5,0.885,1.99,1.2397,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2052_datasheet.pdf,1950
EPC,EPC2045,100,16,295,5.6,6,2.5,1.5,0.885,3.32,1.4995,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2045_datasheet.pdf,1652
EPC,EPC2001C,100,36,430,5.6,7.5,4.1,1.6,0.815,5.35,3.4534,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2001C_datasheet.pdf,2408
EPC,EPC2204,100,29,304,4.4,5.7,2.5,1.5,0.638,2.39,1.8041,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2204_datasheet.pdf,1337.6
EPC,EPC2053,100,48,642,3.1,11.4,3.5,2,0.885,6.20,2.4453,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2053_datasheet.pdf,1990.2
EPC,EPC2032,100,48,800,3,12,4.6,2.6,0.79,9.45,5.1104,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2032_datasheet.pdf,2400
EPC,EPC2022,100,90,840,2.4,13.2,6.05,2.3,0.785,10.92,6.03,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2022_datasheet.pdf,2016
EPC,EPC2218,100,60,562,2.4,10.5,3.5,1.95,0.638,4.35,3.3248,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2218_datasheet.pdf,1348.8
EPC,EPC2302,100,101,1000,1.4,23,3,5,0.65,9.75,6.5,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/epc2302_datasheet.pdf,1400
EPC,EPC2033,150,48,480,5,12,4.6,1.6,0.79,5.81,6.1677,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2033_datasheet.pdf,2400
EPC,EPC2059,170,24,267,6.8,5.7,2.8,1.4,0.638,2.50,2.5311,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2059_datasheet.pdf,1815.6
EPC,EPC2012C,200,5,64,70,1,1.7,0.9,0.815,1.25,1.9916,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2012C_datasheet.pdf,4480
EPC,EPC2054,200,3,89,32,2.9,1.3,1.3,0.638,1.08,1.2184,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2054_datasheet.pdf,2848
EPC,EPC2019,200,8.5,1.3,22,2.4,2.77,0.95,0.815,2.14,2.7027,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2019_datasheet.pdf,28.6
EPC,EPC2010C,200,22,240,18,3.7,3.6,1.6,0.815,4.69,4.8262,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2010C_datasheet.pdf,4320
EPC,EPC2207,200,14,130,15,4.5,2.8,0.925,0.638,1.65,2.3595,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2207_datasheet.pdf,1950
